paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
ICLR_2024_oral_10,9,0.836,0.9032,0.9491525423728814,0.9697,0.5882352941176471,[np.float64(0.5882352941176471)]
ICLR_2024_oral_10,10,0.1275,0.3438,0.5057471264367817,0.5385,1.0,[1.0]
ICLR_2024_oral_10,11,0.1951,0.4459,0.6167400881057269,0.623,1.0,[1.0]
ICLR_2024_oral_11,1,0.779,0.3939,0.6190476190476191,0.5946,1.0,[1.0]
ICLR_2024_oral_11,2,0.7442,0.2264,0.46153846153846156,0.5294,0.5,[np.float64(0.5)]
ICLR_2024_oral_11,3,0.7148,0.4167,0.6495726495726496,0.6471,0.8888888888888888,[np.float64(0.8888888888888888)]
ICLR_2024_oral_11,4,0.198,0.3277,0.24354243542435425,0.2769,0.9743589743589743,[np.float64(0.9743589743589743)]
ICLR_2024_oral_11,5,0.7729,0.5027,0.47202797202797203,0.7007,0.0,[np.float64(0.0)]
ICLR_2024_oral_13,1,0.0187,0.1512,0.24761904761904763,0.2667,0.8,[np.float64(0.8)]
ICLR_2024_oral_13,2,0.7689,0.4762,0.6127167630057804,0.5778,1.0,[1.0]
ICLR_2024_oral_13,3,0.6394,0.8942,0.9441624365482234,0.9583,1.0,[1.0]
ICLR_2024_oral_13,4,0.0424,0.1368,0.18137254901960784,0.2366,1.0,[1.0]
ICLR_2024_oral_13,5,0.5563,0.6471,0.7700534759358288,0.76,1.0,[1.0]
ICLR_2024_oral_13,6,0.6676,0.8214,0.8765432098765432,0.8,1.0,[1.0]
ICLR_2024_oral_13,7,0.7592,0.3133,0.3684210526315789,0.3721,1.0,[1.0]
ICLR_2024_oral_14,1,0.0114,0.1638,0.2730627306273063,0.3099,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,2,0.365,0.2687,0.41509433962264153,0.3333,0.6470588235294118,[np.float64(0.6470588235294118)]
ICLR_2024_oral_14,3,0.2067,0.2989,0.44015444015444016,0.4384,1.0,[1.0]
ICLR_2024_oral_14,4,0.5966,0.3929,0.5368421052631579,0.44,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,5,0.654,0.6294,0.5722070844686649,0.8,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,6,1.0,1.0,1.0,1.0,0.0,[np.float64(0.0)]
ICLR_2024_oral_14,7,0.8772,0.9812,0.9858490566037735,0.9655,1.0,[1.0]
ICLR_2024_oral_14,8,0.7575,0.4722,0.6355140186915887,0.6557,1.0,[1.0]
ICLR_2024_oral_14,9,0.7655,0.2609,0.391304347826087,0.44,1.0,[1.0]
ICLR_2024_oral_15,1,0.7493,0.2975,0.3818770226537217,0.4938,1.0,[1.0]
ICLR_2024_oral_15,2,0.5513,0.5323,0.6210045662100456,0.625,0.8571428571428571,[np.float64(0.8571428571428571)]
ICLR_2024_oral_15,3,0.787,0.942,0.9703703703703703,0.9863,1.0,[1.0]
ICLR_2024_oral_15,4,0.377,0.4684,0.631578947368421,0.6111,1.0,[1.0]
ICLR_2024_oral_15,5,0.7313,0.7857,0.8805970149253731,0.8235,1.0,[1.0]
ICLR_2024_oral_15,6,0.7073,0.8364,0.8301886792452831,0.8696,0.6666666666666666,"[1.0, np.float64(0.0), 1.0]"
ICLR_2024_oral_16,1,0.6905,0.3538,0.2903225806451613,0.5758,1.0,[1.0]
ICLR_2024_oral_16,2,0.8137,0.8312,0.8951048951048951,0.9048,0.14285714285714285,[np.float64(0.14285714285714285)]
ICLR_2024_oral_16,3,0.8338,0.3604,0.44666666666666666,0.525,1.0,[1.0]
ICLR_2024_oral_16,4,0.7955,0.451,0.5858585858585859,0.5926,1.0,[1.0]
