paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
2024.acl-short.71,10,0.7121,0.9022,0.9431818181818182,0.9444,1.0,[1.0]
2024.acl-short.72,1,0.722,0.6061,0.7796610169491526,0.6316,0.4864864864864865,[np.float64(0.4864864864864865)]
2024.acl-short.72,2,0.1645,0.3684,0.509090909090909,0.6154,0.875,[np.float64(0.875)]
2024.acl-short.72,3,0.8882,0.5968,0.6851851851851852,0.6667,0.0,[np.float64(0.0)]
2024.acl-short.72,4,0.7903,0.4091,0.47804878048780486,0.5085,0.9117647058823529,[np.float64(0.9117647058823529)]
ICLR_2024_oral_1,1,0.7629,0.6763,0.7924528301886793,0.7297,0.5,[np.float64(0.5)]
ICLR_2024_oral_1,2,0.2409,0.3158,0.4485981308411215,0.5,0.9583333333333334,[np.float64(0.9583333333333334)]
ICLR_2024_oral_1,3,0.4111,0.4744,0.610079575596817,0.6437,1.0,[1.0]
ICLR_2024_oral_1,4,0.7196,0.7799,0.8816120906801007,0.9412,1.0,[1.0]
ICLR_2024_oral_1,5,0.7576,0.5432,0.704,0.7407,0.9285714285714286,[np.float64(0.9285714285714286)]
ICLR_2024_oral_1,6,0.9155,0.3714,0.5607476635514018,0.6111,0.0,[np.float64(0.0)]
ICLR_2024_oral_1,7,0.7572,0.7619,0.6629213483146067,0.8627,0.2222222222222222,[np.float64(0.2222222222222222)]
ICLR_2024_oral_1,8,0.7938,0.6327,0.7425149700598802,0.75,0.9375,[np.float64(0.9375)]
ICLR_2024_oral_1,9,0.3907,0.456,0.5463414634146342,0.4583,0.9166666666666666,[np.float64(0.9166666666666666)]
ICLR_2024_oral_10,1,0.7968,0.175,0.2524271844660194,0.1875,1.0,[1.0]
ICLR_2024_oral_10,2,0.3611,0.1852,0.25,0.1429,1.0,[1.0]
ICLR_2024_oral_10,3,0.0152,0.2222,0.36363636363636365,0.3333,0.5454545454545454,[np.float64(0.5454545454545454)]
ICLR_2024_oral_10,4,0.5148,0.3333,0.4900662251655629,0.3556,1.0,[1.0]
