paper_id,equation_id,texbleu,levenshtein_distance,sequence_similarity,rouge_l,avg_tree_edit_distance,individual_ted_scores
ICLR_2024_oral_29,5,0.0428,0.2336,0.30057803468208094,0.375,0.3333333333333333,[np.float64(0.3333333333333333)]
ICLR_2024_oral_29,6,0.3079,0.3929,0.12098765432098765,0.3871,0.0,[np.float64(0.0)]
ICLR_2024_oral_29,7,0.7335,0.6889,0.813953488372093,0.8276,1.0,[1.0]
ICLR_2024_oral_29,8,0.1544,0.3051,0.46835443037974683,0.5581,0.7333333333333333,[np.float64(0.7333333333333333)]
ICLR_2024_oral_3,1,0.0011,0.094,0.12048192771084337,0.2083,0.75,[np.float64(0.75)]
ICLR_2024_oral_3,2,0.7104,0.4933,0.6944444444444444,0.6512,0.38461538461538464,[np.float64(0.38461538461538464)]
ICLR_2024_oral_3,3,0.4558,0.4385,0.5576923076923077,0.5714,0.4,[np.float64(0.4)]
ICLR_2024_oral_3,4,0.7495,0.2947,0.45714285714285713,0.4651,0.6363636363636364,[np.float64(0.6363636363636364)]
ICLR_2024_oral_3,5,0.2618,0.4463,0.6256983240223464,0.6538,0.4,[np.float64(0.4)]
ICLR_2024_oral_3,6,0.3881,0.2454,0.4015748031496063,0.3385,0.6666666666666666,[np.float64(0.6666666666666666)]
ICLR_2024_oral_3,7,0.2256,0.2802,0.4247104247104247,0.3611,0.782608695652174,[np.float64(0.782608695652174)]
ICLR_2024_oral_3,8,0.0075,0.1056,0.1393939393939394,0.1628,0.8888888888888888,[np.float64(0.8888888888888888)]
ICLR_2024_oral_3,9,0.7695,0.2596,0.4,0.4839,1.0,[1.0]
ICLR_2024_oral_3,10,0.1561,0.2992,0.4041994750656168,0.3765,0.38461538461538464,[np.float64(0.38461538461538464)]
ICLR_2024_oral_3,11,0.6802,0.4711,0.6970954356846473,0.6552,0.7142857142857143,[np.float64(0.7142857142857143)]
ICLR_2024_oral_3,12,0.121,0.2034,0.2661290322580645,0.1842,1.0,[1.0]
ICLR_2024_oral_3,13,0.5395,0.5341,0.7114093959731543,0.75,1.0,[1.0]
ICLR_2024_oral_31,1,0.8247,0.3429,0.5454545454545454,0.5455,1.0,[1.0]
ICLR_2024_oral_31,2,0.8525,0.3617,0.42424242424242425,0.5714,1.0,[1.0]
ICLR_2024_oral_31,3,0.6078,0.3529,0.53125,0.5143,0.0,[np.float64(0.0)]
ICLR_2024_oral_31,4,0.8663,0.4235,0.5314685314685315,0.6522,0.0,[np.float64(0.0)]
ICLR_2024_oral_31,5,0.5294,0.2816,0.39080459770114945,0.3793,1.0,[1.0]
ICLR_2024_oral_31,6,0.7106,0.6723,0.7414330218068536,0.7629,0.0,[np.float64(0.0)]
ICLR_2024_oral_31,7,0.0006,0.0925,0.15625,0.1455,1.0,[1.0]
ICLR_2024_oral_31,8,0.3522,0.3761,0.5257142857142857,0.4839,0.9090909090909091,[np.float64(0.9090909090909091)]
ICLR_2024_oral_32,1,0.8144,0.5612,0.4065934065934066,0.75,1.0,[1.0]
ICLR_2024_oral_32,2,0.723,0.0148,0.010714285714285714,0.0561,0.8840579710144928,[np.float64(0.8840579710144928)]
ICLR_2024_oral_32,3,0.5145,0.3293,0.4931506849315068,0.4651,0.24,[np.float64(0.24)]
ICLR_2024_oral_32,4,0.5216,0.4912,0.4879725085910653,0.6914,1.0,[np.float64(1.0)]
ICLR_2024_oral_32,5,0.4983,0.5333,0.6467661691542289,0.5846,0.5666666666666667,[np.float64(0.5666666666666667)]
ICLR_2024_oral_32,6,0.7354,0.4803,0.5737704918032787,0.5789,0.8,[np.float64(0.8)]
ICLR_2024_oral_32,7,0.3655,0.2742,0.35175879396984927,0.2308,1.0,[1.0]
ICLR_2024_oral_35,2,0.1076,0.2586,0.4088888888888889,0.411,0.7727272727272727,[np.float64(0.7727272727272727)]
ICLR_2024_oral_35,3,0.0029,0.1195,0.15151515151515152,0.0769,1.0,[1.0]
